epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9112,1.44382,2.19086,2.05489,0.8358,0.79949,0.87718,0.68358,0.84965,0.98692,2.44942,0.00054889,0.00054889,0.00054889
2,131.412,1.11309,1.13145,1.78236,0.84197,0.88506,0.91054,0.71812,0.80666,0.81119,1.85992,0.00109362,0.00109362,0.00109362
3,186.342,1.01653,0.99355,1.69871,0.84005,0.89782,0.93003,0.74944,0.75873,0.81291,1.82952,0.00162735,0.00162735,0.00162735
4,242.587,0.991,0.92813,1.638,0.85555,0.91972,0.94083,0.78544,0.63506,0.66696,2.14707,0.00161749,0.00161749,0.00161749
5,299.072,0.89608,0.83301,1.61423,0.89342,0.86954,0.9507,0.8256,0.57239,0.61947,2.4202,0.00160099,0.00160099,0.00160099
6,356.572,0.87312,0.77498,1.56935,0.87325,0.91678,0.95133,0.82758,0.58022,0.63584,1.67048,0.00158448,0.00158448,0.00158448
7,413.397,0.87286,0.75103,1.52749,0.86773,0.89785,0.94376,0.82816,0.58345,0.62359,2.09344,0.00156798,0.00156798,0.00156798
8,469.566,0.8497,0.74704,1.4859,0.86532,0.91061,0.9535,0.82446,0.62104,0.63246,1.77814,0.00155148,0.00155148,0.00155148
9,524.772,0.80085,0.71465,1.48719,0.89907,0.93103,0.96801,0.85601,0.54649,0.5236,1.66874,0.00153497,0.00153497,0.00153497
10,581.306,0.81441,0.70173,1.4989,0.88343,0.95651,0.94089,0.83144,0.54236,0.56479,1.71869,0.00151847,0.00151847,0.00151847
11,638.531,0.81049,0.70767,1.51934,0.87008,0.91468,0.94774,0.84901,0.49601,0.54543,1.98925,0.00150197,0.00150197,0.00150197
12,695.702,0.79082,0.6726,1.49069,0.91557,0.91914,0.97088,0.86651,0.52888,0.51462,2.07626,0.00148546,0.00148546,0.00148546
13,751.423,0.79537,0.67094,1.49695,0.92097,0.93489,0.97389,0.8661,0.52006,0.4876,2.22985,0.00146896,0.00146896,0.00146896
14,808.089,0.8176,0.68537,1.5045,0.91801,0.93602,0.97222,0.86438,0.54447,0.49066,1.59174,0.00145246,0.00145246,0.00145246
15,865.125,0.77726,0.654,1.46417,0.92259,0.92674,0.96441,0.8685,0.50003,0.49013,1.91683,0.00143595,0.00143595,0.00143595
16,922.19,0.74504,0.62704,1.42554,0.91774,0.93965,0.973,0.89141,0.48973,0.46535,1.59637,0.00141945,0.00141945,0.00141945
17,978.32,0.75917,0.65083,1.46797,0.93581,0.96316,0.97494,0.88869,0.47588,0.47714,1.54759,0.00140295,0.00140295,0.00140295
18,1032.75,0.72727,0.62022,1.41475,0.91818,0.93708,0.96921,0.88022,0.48073,0.50204,1.71864,0.00138644,0.00138644,0.00138644
19,1086.59,0.7441,0.61903,1.47029,0.951,0.93459,0.97464,0.88567,0.47859,0.46103,1.88106,0.00136994,0.00136994,0.00136994
20,1143.73,0.7254,0.59211,1.41426,0.93892,0.94617,0.97706,0.90261,0.47218,0.45148,1.56518,0.00135344,0.00135344,0.00135344
21,1199.06,0.72116,0.60609,1.43036,0.94848,0.93368,0.96641,0.89106,0.45502,0.45752,2.23475,0.00133693,0.00133693,0.00133693
22,1253.86,0.7326,0.59551,1.43013,0.90618,0.93343,0.96574,0.88355,0.49553,0.48108,1.51343,0.00132043,0.00132043,0.00132043
23,1310.79,0.70865,0.57553,1.41221,0.91715,0.9463,0.97661,0.89106,0.48285,0.46222,1.60344,0.00130393,0.00130393,0.00130393
24,1366.45,0.71825,0.59041,1.42,0.93161,0.96418,0.97934,0.8905,0.48777,0.46037,1.67419,0.00128742,0.00128742,0.00128742
25,1423.6,0.70759,0.5661,1.36537,0.94079,0.93644,0.97509,0.90879,0.44924,0.42406,2.05592,0.00127092,0.00127092,0.00127092
26,1480.07,0.6981,0.57388,1.38459,0.9455,0.93337,0.96579,0.9022,0.41542,0.44309,2.01798,0.00125442,0.00125442,0.00125442
27,1534.9,0.6892,0.56489,1.37782,0.93997,0.94278,0.97303,0.90383,0.45721,0.44384,1.45334,0.00123791,0.00123791,0.00123791
28,1589.94,0.66292,0.55329,1.37047,0.94165,0.9347,0.96642,0.88468,0.46799,0.45667,2.21077,0.00122141,0.00122141,0.00122141
29,1646.61,0.67739,0.55258,1.39907,0.9485,0.92794,0.98205,0.91349,0.44612,0.42092,1.46821,0.00120491,0.00120491,0.00120491
30,1703.79,0.68275,0.57052,1.38783,0.94017,0.90839,0.96971,0.88983,0.48152,0.47672,1.43383,0.0011884,0.0011884,0.0011884
31,1758.63,0.65741,0.5499,1.36325,0.93395,0.92605,0.96917,0.90356,0.41793,0.46734,1.6803,0.0011719,0.0011719,0.0011719
32,1815.1,0.6589,0.55083,1.38317,0.94243,0.92869,0.96977,0.90855,0.4181,0.42826,1.69712,0.0011554,0.0011554,0.0011554
33,1870.87,0.65517,0.53328,1.33971,0.94307,0.92527,0.97168,0.90911,0.42746,0.42936,1.71079,0.00113889,0.00113889,0.00113889
34,1927.02,0.65521,0.54322,1.36035,0.93529,0.95131,0.97532,0.90848,0.42851,0.42991,1.5352,0.00112239,0.00112239,0.00112239
35,1981.67,0.64368,0.53128,1.35996,0.94288,0.94399,0.97433,0.91442,0.40541,0.39447,1.92585,0.00110589,0.00110589,0.00110589
36,2038.19,0.64087,0.53197,1.35204,0.96093,0.92466,0.97207,0.91976,0.39377,0.40041,1.88442,0.00108938,0.00108938,0.00108938
37,2095.45,0.63856,0.52062,1.35542,0.92625,0.95293,0.97485,0.91814,0.41169,0.41175,1.50319,0.00107288,0.00107288,0.00107288
38,2152.79,0.64092,0.51219,1.34323,0.91854,0.95231,0.97342,0.91191,0.41107,0.42341,1.53106,0.00105638,0.00105638,0.00105638
39,2208.28,0.62399,0.51001,1.34092,0.94833,0.94135,0.96367,0.89545,0.43464,0.45642,1.51193,0.00103987,0.00103987,0.00103987
40,2264.58,0.63704,0.51368,1.34047,0.93851,0.93664,0.96697,0.91,0.39317,0.40546,2.06127,0.00102337,0.00102337,0.00102337
41,2320.33,0.61593,0.50905,1.34824,0.96102,0.95933,0.9794,0.91471,0.4148,0.3872,1.56557,0.00100687,0.00100687,0.00100687
42,2375.34,0.61596,0.50794,1.32981,0.92262,0.95442,0.97041,0.912,0.41471,0.41989,1.50772,0.000990365,0.000990365,0.000990365
43,2434.5,0.63704,0.52523,1.33051,0.94735,0.91949,0.96528,0.91146,0.41278,0.44268,1.56352,0.000973861,0.000973861,0.000973861
44,2491.8,0.62033,0.50302,1.30898,0.91015,0.94339,0.96579,0.90446,0.40535,0.4521,1.61136,0.000957358,0.000957358,0.000957358
45,2547.09,0.62785,0.50732,1.31859,0.94094,0.94956,0.97391,0.92298,0.38415,0.39549,1.70474,0.000940855,0.000940855,0.000940855
46,2603.37,0.60792,0.49059,1.31196,0.9088,0.95694,0.96974,0.92473,0.36672,0.38974,2.06394,0.000924352,0.000924352,0.000924352
47,2658.57,0.61342,0.4954,1.30026,0.9404,0.93604,0.97491,0.91918,0.39936,0.40761,1.52663,0.000907848,0.000907848,0.000907848
48,2713.48,0.61497,0.50247,1.3303,0.95646,0.92622,0.96911,0.91505,0.3806,0.41744,1.653,0.000891345,0.000891345,0.000891345
49,2767.69,0.58105,0.47268,1.27583,0.94885,0.93345,0.98213,0.92845,0.38756,0.39665,1.61066,0.000874842,0.000874842,0.000874842
50,2824.02,0.59852,0.4879,1.30162,0.96117,0.94183,0.97985,0.93101,0.38227,0.39683,1.4106,0.000858338,0.000858338,0.000858338
51,2880.59,0.61299,0.50518,1.32458,0.96225,0.9591,0.97988,0.92964,0.37912,0.38188,1.70141,0.000841835,0.000841835,0.000841835
52,2937.79,0.6194,0.5033,1.30949,0.93754,0.95455,0.97848,0.92911,0.38081,0.37111,1.43469,0.000825332,0.000825332,0.000825332
53,2992.57,0.5848,0.46536,1.30422,0.94929,0.94486,0.97772,0.9221,0.39765,0.39938,1.42317,0.000808828,0.000808828,0.000808828
54,3048.18,0.58219,0.47573,1.30114,0.94753,0.94478,0.96577,0.92014,0.35744,0.39005,2.09033,0.000792325,0.000792325,0.000792325
55,3102.32,0.56245,0.45204,1.27329,0.95164,0.93796,0.95944,0.90888,0.38903,0.44676,1.52631,0.000775822,0.000775822,0.000775822
56,3159.14,0.59541,0.4838,1.30474,0.96724,0.93787,0.97115,0.91946,0.38351,0.40006,1.49875,0.000759318,0.000759318,0.000759318
57,3214.63,0.56705,0.45048,1.29155,0.95734,0.94503,0.97388,0.92083,0.37287,0.38128,1.69288,0.000742815,0.000742815,0.000742815
58,3270.51,0.57051,0.45475,1.28228,0.95997,0.93073,0.97388,0.92928,0.35448,0.36541,1.907,0.000726312,0.000726312,0.000726312
59,3325.21,0.5647,0.44938,1.26981,0.95503,0.92652,0.95743,0.92086,0.36113,0.41039,1.84805,0.000709809,0.000709809,0.000709809
60,3382.04,0.56834,0.45726,1.28693,0.95379,0.92801,0.95985,0.9164,0.37205,0.41961,1.45882,0.000693305,0.000693305,0.000693305
61,3437.33,0.5613,0.44897,1.26605,0.95486,0.93386,0.96773,0.92875,0.34659,0.37724,1.91264,0.000676802,0.000676802,0.000676802
62,3492.48,0.55429,0.44336,1.28342,0.95066,0.93506,0.95952,0.91297,0.37718,0.42951,1.5097,0.000660299,0.000660299,0.000660299
63,3547.78,0.55749,0.44907,1.27593,0.96392,0.93536,0.96363,0.92374,0.35689,0.40025,1.64015,0.000643795,0.000643795,0.000643795
64,3602.72,0.54979,0.43334,1.2647,0.963,0.93539,0.96796,0.93062,0.33243,0.37827,1.72517,0.000627292,0.000627292,0.000627292
65,3658.86,0.54858,0.43854,1.27866,0.94093,0.95221,0.96782,0.9278,0.35988,0.39104,1.35922,0.000610789,0.000610789,0.000610789
66,3714.68,0.55768,0.44175,1.26657,0.95531,0.95557,0.981,0.93723,0.36269,0.35741,1.47598,0.000594286,0.000594286,0.000594286
67,3771.46,0.54754,0.43828,1.26171,0.95636,0.93265,0.95723,0.91138,0.36579,0.42494,1.52022,0.000577782,0.000577782,0.000577782
68,3829.3,0.55121,0.43158,1.25537,0.94728,0.93207,0.95832,0.92245,0.35316,0.42574,1.3745,0.000561279,0.000561279,0.000561279
69,3883.52,0.5393,0.42973,1.25278,0.94445,0.93218,0.96179,0.92331,0.35099,0.40234,1.49223,0.000544776,0.000544776,0.000544776
70,3939.97,0.54858,0.43822,1.26754,0.9595,0.932,0.9642,0.92419,0.36869,0.40304,1.55135,0.000528272,0.000528272,0.000528272
71,3996.29,0.54328,0.4364,1.2611,0.95432,0.93185,0.953,0.92324,0.3359,0.39391,1.82905,0.000511769,0.000511769,0.000511769
72,4052.73,0.52998,0.42355,1.25161,0.94182,0.94339,0.9551,0.92344,0.34504,0.39718,1.63918,0.000495266,0.000495266,0.000495266
73,4107.34,0.53044,0.42277,1.27152,0.95489,0.95278,0.96907,0.93791,0.31985,0.34352,1.80841,0.000478762,0.000478762,0.000478762
74,4161.88,0.52713,0.4196,1.24493,0.94539,0.92318,0.96169,0.92913,0.33448,0.3942,1.66984,0.000462259,0.000462259,0.000462259
75,4217.16,0.52998,0.41636,1.23958,0.95989,0.9252,0.96489,0.92898,0.34483,0.38496,1.44715,0.000445756,0.000445756,0.000445756
76,4272.89,0.52779,0.43225,1.26589,0.95862,0.91908,0.96064,0.92759,0.33753,0.39642,1.6336,0.000429253,0.000429253,0.000429253
77,4328.56,0.51395,0.41466,1.24879,0.94171,0.94951,0.97269,0.94023,0.3334,0.35159,1.47335,0.000412749,0.000412749,0.000412749
78,4384.46,0.52423,0.41156,1.23543,0.94498,0.92918,0.9678,0.9313,0.34667,0.39969,1.41925,0.000396246,0.000396246,0.000396246
